Symbol,Satoshi Rate
BLZ/USD,
DAR/USD,
PERP/USD,-0.167589624
SOL/USD,-0.061626952
MKR/USD,0.004024752
FIL/USD,0
MINA/USD,-0.110987791
OGN/USD,
RNDR/USD,-0.116661914
INJ/USD,-0.190743215
ICP/USD,0.014279821
HIGH/USD,
DASH/USD,
AVAX/USD,-0.056038106
JASMY/USD,-0.018345258
TRU/USD,
SUSHI/USD,-0.14505893
ETH/USDC,
DOT/USD,-0.106425436
TRB/USD,
BAL/USD,
CVC/USD,
SUI/USD,0.039323634
ALGO/USD,-0.03111065
XRP/USD,-0.034782609
XLM/USD,0.01182832
USDC/USD,
BADGER/USD,
MAGIC/USD,0.031821798
OCEAN/USD,
IDEX/USD,
IOTX/USD,
RARE/USD,
ALICE/USD,
ZEC/USD,
UNFI/USD,
HFT/USD,-0.140370578
RPL/USD,-0.172761301
MATIC/USDC,
BAND/USD,
COMP/USD,-0.087581012
CRO/USD,
SOL/USDC,
KSM/USD,0.531284219
POWR/USD,
ETH/USD,-0.046533635
BICO/USD,-0.231958763
AUDIO/USD,
AXS/USD,-0.119022786
ARB/USD,-0.075614367
TIA/USD,-0.026927379
REQ/USD,
CHZ/USD,0
ROSE/USD,-0.263023927
RLC/USD,
1INCH/USD,0.151416829
CELR/USD,
JTO/USD,0.149915648
LRC/USD,0
T/USD,-0.265643447
C98/USD,-0.116459627
UMA/USD,-0.039471087
CTSI/USD,
CRV/USD,-0.073059361
GODS/USD,-0.555434206
BTC/USDC,
NMR/USD,
DOGE/USD,-0.024615385
NEAR/USD,-0.055490474
GTC/USD,
SEI/USD,0.025009379
SUPER/USD,
ETC/USD,-0.148203038
QNT/USD,-0.110262935
BAT/USD,0.028536486
BCH/USD,-0.078864353
SAND/USD,-0.134087332
XCN/USD,
CELO/USD,0.159829515
KAVA/USD,-0.234375
CVX/USD,
BNT/USD,0.230591852
RAD/USD,
GLM/USD,
SKL/USD,
ZRX/USD,-0.244661922
UNI/USD,-0.103754147
OP/USDC,
ADA/USD,-0.09237022
ILV/USD,
STORJ/USD,
BOBA/USD,-0.06543551
FLR/USD,-0.049800797
MANA/USD,-0.172562554
BTC/USD,-0.032135328
HBAR/USD,-0.087412587
FET/USD,-0.159559037
METIS/USD,
IMX/USD,-0.028734373
AUCTION/USD,
LDO/USD,-0.078322689
ETC/USDC,
NKN/USD,
GRT/USD,-0.149031297
GAL/USD,0.020155195
LPT/USD,
EGLD/USD,-0.269106566
BLUR/USD,0.033219232
GMT/USD,-0.031486146
ENJ/USD,-0.525954722
LTC/USD,-0.099587424
STX/USD,-0.067179675
MASK/USD,-0.305298138
MATIC/USD,-0.082149982
YFI/USD,0.157015339
ZEN/USD,-0.132850795
COTI/USD,
MTL/USD,
EOS/USD,-0.116580311
HNT/USD,-0.111900557
VET/USD,
FLOW/USD,-0.141309468
QI/USD,
XTZ/USD,-0.09699321
FORTH/USD,
SPELL/USD,-0.377318002
ANKR/USD,0.079207921
LQTY/USD,
KNC/USD,
XRP/USDC,
LIT/USD,
APT/USD,0.058607278
AXL/USD,-0.688468158
SNX/USD,-0.182815356
AGLD/USD,-0.07840901
MDT/USD,
BIGTIME/USD,
AAVE/USD,-0.043533885
ACH/USD,0.247078808
AERGO/USD,
ARPA/USD,
OP/USD,-0.048368282
ENS/USD,-0.018178513
LINK/USD,-0.078860695
SNT/USD,
API3/USD,
APE/USD,-0.123643358
ATOM/USD,-0.017437129
OXT/USD,
BLZ/USD,
DAR/USD,
PERP/USD,-0.007269555
SOL/USD,-0.06143135
MKR/USD,-0.081954849
FIL/USD,-0.034083163
MINA/USD,-0.094996833
OGN/USD,
RNDR/USD,-0.069966313
INJ/USD,-0.135965575
ICP/USD,-0.041174421
HIGH/USD,
DASH/USD,
AVAX/USD,-0.135314971
JASMY/USD,-0.018311665
TRU/USD,
SUSHI/USD,0.009049774
ETH/USDC,
DOT/USD,-0.026627613
TRB/USD,
BAL/USD,
CVC/USD,
SUI/USD,-0.14959452
ALGO/USD,-0.067416896
XRP/USD,-0.052173913
XLM/USD,-0.136766568
USDC/USD,
BADGER/USD,
MAGIC/USD,0.206825233
OCEAN/USD,
IDEX/USD,
IOTX/USD,
RARE/USD,
ALICE/USD,
ZEC/USD,
UNFI/USD,
HFT/USD,0.056433409
RPL/USD,-0.172761301
MATIC/USDC,
BAND/USD,
COMP/USD,-0.017516202
CRO/USD,
SOL/USDC,
KSM/USD,0.084016462
POWR/USD,
ETH/USD,-0.070760065
BICO/USD,-0.025813113
AUDIO/USD,
AXS/USD,0.030797659
ARB/USD,-0.108644308
TIA/USD,-0.120262088
REQ/USD,
CHZ/USD,0.188323917
ROSE/USD,0.008473858
RLC/USD,
1INCH/USD,-0.173235167
CELR/USD,
JTO/USD,0.068799716
LRC/USD,-0.116189001
T/USD,-0.441956394
C98/USD,-0.232648313
UMA/USD,-0.039471087
CTSI/USD,
CRV/USD,0
GODS/USD,0.33076419
BTC/USDC,
NMR/USD,
DOGE/USD,-0.049261084
NEAR/USD,-0.157160026
GTC/USD,
SEI/USD,-0.012520346
SUPER/USD,
ETC/USD,-0.074321813
QNT/USD,-0.110169492
BAT/USD,0.21597392
BCH/USD,-0.094674556
SAND/USD,-0.019474197
XCN/USD,
CELO/USD,0.173171706
KAVA/USD,-0.052130848
CVX/USD,
BNT/USD,-0.14039566
RAD/USD,
GLM/USD,
SKL/USD,
ZRX/USD,-0.043169722
UNI/USD,0.023400708
OP/USDC,
ADA/USD,-0.036900369
ILV/USD,
STORJ/USD,
BOBA/USD,0.369030655
FLR/USD,-0.199203187
MANA/USD,0.08650519
BTC/USD,0.002474602
HBAR/USD,-0.025006252
FET/USD,-0.043465662
METIS/USD,
IMX/USD,-0.071792417
AUCTION/USD,
LDO/USD,-0.150285543
ETC/USDC,
NKN/USD,
GRT/USD,-0.011910434
GAL/USD,0.035241404
LPT/USD,
EGLD/USD,0.053937433
BLUR/USD,-0.00718236
GMT/USD,-0.063051702
ENJ/USD,-0.282865225
LTC/USD,-0.07115412
STX/USD,-0.073793537
MASK/USD,-0.056724562
MATIC/USD,-0.047003525
YFI/USD,-0.062634918
ZEN/USD,-0.110987791
COTI/USD,
MTL/USD,
EOS/USD,-0.051800052
HNT/USD,0.071556834
VET/USD,
FLOW/USD,-0.129548934
QI/USD,
XTZ/USD,-0.395256917
FORTH/USD,
SPELL/USD,-0.305788523
ANKR/USD,-0.197941409
LQTY/USD,
KNC/USD,
XRP/USDC,
LIT/USD,
APT/USD,-0.182359152
AXL/USD,-0.506380393
SNX/USD,-0.039432177
AGLD/USD,-0.285938952
MDT/USD,
BIGTIME/USD,
AAVE/USD,0.043911495
ACH/USD,-0.046227336
AERGO/USD,
ARPA/USD,
OP/USD,0.08839716
ENS/USD,0.013607294
LINK/USD,-0.034551036
SNT/USD,
API3/USD,
APE/USD,-0.137931034
ATOM/USD,-0.047545581
OXT/USD,
BLZ/USD,
DAR/USD,
PERP/USD,-0.058194515
SOL/USD,-0.010288066
MKR/USD,-0.008565526
FIL/USD,-0.034094783
MINA/USD,0.047528517
OGN/USD,
RNDR/USD,0.176922076
INJ/USD,-0.12788191
ICP/USD,-0.071947565
HIGH/USD,
DASH/USD,
AVAX/USD,-0.052175962
JASMY/USD,0.036643459
TRU/USD,
SUSHI/USD,0.054397099
ETH/USDC,
DOT/USD,0
TRB/USD,
BAL/USD,
CVC/USD,
SUI/USD,-0.070726916
ALGO/USD,0.109039929
XRP/USD,-0.052146706
XLM/USD,-0.042247571
USDC/USD,
BADGER/USD,
MAGIC/USD,0
OCEAN/USD,
IDEX/USD,
IOTX/USD,
RARE/USD,
ALICE/USD,
ZEC/USD,
UNFI/USD,
HFT/USD,0.056306306
RPL/USD,-0.172761301
MATIC/USDC,
BAND/USD,
COMP/USD,0.070224719
CRO/USD,
SOL/USDC,
KSM/USD,0.107588939
POWR/USD,
ETH/USD,-0.036340901
BICO/USD,0.232919255
AUDIO/USD,
AXS/USD,-0.197141449
ARB/USD,0.014150943
TIA/USD,0.125162946
REQ/USD,
CHZ/USD,0
ROSE/USD,-0.059322034
RLC/USD,
1INCH/USD,-0.151613602
CELR/USD,
JTO/USD,-0.037041896
LRC/USD,-0.038744673
T/USD,0
C98/USD,-0.155339806
UMA/USD,-0.039471087
CTSI/USD,
CRV/USD,-0.091257529
GODS/USD,0.33076419
BTC/USDC,
NMR/USD,
DOGE/USD,-0.086090272
NEAR/USD,0.024705083
GTC/USD,
SEI/USD,-0.062057838
SUPER/USD,
ETC/USD,0
QNT/USD,-0.025445293
BAT/USD,0.101791531
BCH/USD,-0.059078377
SAND/USD,-0.075891728
XCN/USD,
CELO/USD,0.346944222
KAVA/USD,0
CVX/USD,
BNT/USD,-0.140145241
RAD/USD,
GLM/USD,
SKL/USD,
ZRX/USD,-0.091821671
UNI/USD,-0.121268793
OP/USDC,
ADA/USD,-0.055299539
ILV/USD,
STORJ/USD,
BOBA/USD,0.15312819
FLR/USD,0.099552016
MANA/USD,-0.086281277
BTC/USD,-0.005745452
HBAR/USD,-0.087303567
FET/USD,0.130151844
METIS/USD,
IMX/USD,-0.188799208
AUCTION/USD,
LDO/USD,-0.110622776
ETC/USDC,
NKN/USD,
GRT/USD,-0.041575102
GAL/USD,-0.095147479
LPT/USD,
EGLD/USD,0.107739271
BLUR/USD,-0.178126113
GMT/USD,-0.062912866
ENJ/USD,0.002857224
LTC/USD,-0.07115412
STX/USD,-0.170092646
MASK/USD,-0.334015731
MATIC/USD,-0.023471424
YFI/USD,-0.135248896
ZEN/USD,0.096092249
COTI/USD,
MTL/USD,
EOS/USD,-0.03878976
HNT/USD,-0.092843015
VET/USD,
FLOW/USD,0.187485353
QI/USD,
XTZ/USD,0.316511342
FORTH/USD,
SPELL/USD,-0.037552977
ANKR/USD,0.079176564
LQTY/USD,
KNC/USD,
XRP/USDC,
LIT/USD,
APT/USD,-0.101915156
AXL/USD,-0.617533914
SNX/USD,-0.098025487
AGLD/USD,-0.335906232
MDT/USD,
BIGTIME/USD,
AAVE/USD,-0.00284784
ACH/USD,0.132808908
AERGO/USD,
ARPA/USD,
OP/USD,0.014186409
ENS/USD,-0.13982229
LINK/USD,-0.065632893
SNT/USD,
API3/USD,
APE/USD,-0.048285852
ATOM/USD,-0.047517916
OXT/USD,
BLZ/USD,
DAR/USD,
PERP/USD,-0.07264802
SOL/USD,0
MKR/USD,0.113624937
FIL/USD,-0.085193389
MINA/USD,-0.007910767
OGN/USD,
RNDR/USD,-0.056962353
INJ/USD,-0.135917639
ICP/USD,0.142653352
HIGH/USD,
DASH/USD,
AVAX/USD,0.100044154
JASMY/USD,-0.036483035
TRU/USD,
SUSHI/USD,-0.063348416
ETH/USDC,
DOT/USD,-0.092875149
TRB/USD,
BAL/USD,
CVC/USD,
SUI/USD,-0.086112416
ALGO/USD,0.041403581
XRP/USD,-0.052038161
XLM/USD,-0.030384875
USDC/USD,
BADGER/USD,
MAGIC/USD,-0.086963396
OCEAN/USD,
IDEX/USD,
IOTX/USD,
RARE/USD,
ALICE/USD,
ZEC/USD,
UNFI/USD,
HFT/USD,-0.056038106
RPL/USD,-0.296184047
MATIC/USDC,
BAND/USD,
COMP/USD,0.140350877
CRO/USD,
SOL/USDC,
KSM/USD,-0.367043939
POWR/USD,
ETH/USD,-0.040965059
BICO/USD,-0.206238721
AUDIO/USD,
AXS/USD,-0.247861586
ARB/USD,0.018832392
TIA/USD,-0.091644791
REQ/USD,
CHZ/USD,0.188679245
ROSE/USD,-0.084438065
RLC/USD,
1INCH/USD,-0.237017884
CELR/USD,
JTO/USD,-0.162070793
LRC/USD,-0.077369439
T/USD,0.058927519
C98/USD,-0.116054159
UMA/USD,0.256562068
CTSI/USD,
CRV/USD,0.073006023
GODS/USD,-0.624083378
BTC/USDC,
NMR/USD,
DOGE/USD,-0.073746313
NEAR/USD,-0.175023797
GTC/USD,
SEI/USD,-0.024943876
SUPER/USD,
ETC/USD,-0.037257824
QNT/USD,0.118644068
BAT/USD,-0.06090134
BCH/USD,-0.031520883
SAND/USD,0.007764578
XCN/USD,
CELO/USD,0.14629605
KAVA/USD,-0.350649351
CVX/USD,
BNT/USD,-0.127177922
RAD/USD,
GLM/USD,
SKL/USD,
ZRX/USD,-0.246090292
UNI/USD,-0.016055816
OP/USDC,
ADA/USD,-0.055177488
ILV/USD,
STORJ/USD,
BOBA/USD,-0.25845437
FLR/USD,-0.299102692
MANA/USD,-0.064738886
BTC/USD,-0.008817685
HBAR/USD,-0.087368947
FET/USD,-0.014490654
METIS/USD,
IMX/USD,-0.167944505
AUCTION/USD,
